transaction_id,timestamp,transaction_amount_inr,time_of_day,fraud_status
TX00080,2026-07-05 10:13,3718.94,Morning,Fraud
TX00081,2026-02-04 19:43,32107.46,Evening,Legitimate
TX00082,2026-02-21 15:38,6276.09,Afternoon,Legitimate
TX00083,2026-06-23 13:46,65163.11,Afternoon,Legitimate
TX00084,2026-04-18 09:12,1902.82,Morning,Legitimate
TX00085,2026-06-27 07:51,7919.31,Morning,Legitimate
TX00086,2026-07-13 12:32,23461.02,Afternoon,Legitimate
TX00087,2026-02-26 06:27,25898.12,Morning,Legitimate
TX00088,2026-03-02 00:03,6451.94,Night,Legitimate
TX00089,2026-06-02 01:30,3746.99,Night,Legitimate
TX00090,2026-06-21 17:25,3091.32,Afternoon,Legitimate
TX00091,2026-01-14 01:32,12343.78,Night,Fraud
TX00092,2026-01-04 21:04,6186.42,Evening,Fraud
TX00093,2026-07-13 15:07,10359.59,Afternoon,Legitimate
TX00094,2026-07-24 09:12,6326.02,Morning,Legitimate
TX00095,2026-05-21 12:39,2138.81,Afternoon,Legitimate
TX00096,2026-01-28 08:20,12258.76,Morning,Legitimate
TX00097,2026-05-27 13:40,6172.02,Afternoon,Fraud
TX00098,2026-07-27 20:28,6722.92,Evening,Legitimate
TX00099,2026-04-10 18:30,16737.43,Evening,Legitimate
TX00100,2026-01-28 02:25,38006.85,Night,Fraud
TX00101,2026-04-17 01:05,17689.45,Night,Fraud
TX00102,2026-04-06 00:34,2477.13,Night,Legitimate
TX00103,2026-05-18 04:57,2060.03,Night,Legitimate
TX00104,2026-03-05 08:36,7864.91,Morning,Legitimate
TX00105,2026-03-04 06:13,7685.67,Morning,Legitimate
TX00106,2026-04-12 16:02,3404.47,Afternoon,Legitimate
TX00107,2026-03-23 15:54,2252.59,Afternoon,Legitimate
TX00108,2026-05-08 03:13,4084.21,Night,Legitimate
TX00109,2026-01-22 06:14,1253.32,Morning,Legitimate
TX00110,2026-05-28 15:15,6282.02,Afternoon,Legitimate
TX00111,2026-04-24 00:44,1070.28,Night,Legitimate
TX00112,2026-06-15 03:33,4293.05,Night,Legitimate
TX00113,2026-02-28 15:33,8235.47,Afternoon,Legitimate
TX00114,2026-01-01 07:38,7559.88,Morning,Legitimate
TX00115,2026-02-19 01:40,8529.65,Night,Legitimate
TX00116,2026-02-18 11:18,7127.48,Morning,Fraud
TX00117,2026-06-28 06:00,4820.76,Morning,Legitimate
TX00118,2026-02-22 01:45,14627.84,Night,Legitimate
TX00119,2026-05-06 18:55,11248.21,Evening,Legitimate
TX00120,2026-04-30 20:30,11957.86,Evening,Legitimate
TX00107,2026-03-23 15:54,2252.59,Afternoon,Legitimate
TX00077,2026-07-27 20:59,4010.08,Evening,Legitimate
TX00029,2026-07-24 23:13,,Evening,Legitimate
